id,subtype,text
f77a619f6ccc449f915b44bdc0d6d8f0,Well differentiated tubular adenocarcinoma,Large atypical cells which form medium to large ducts are proliferating. Well differentiated adenocarcinoma (well differentiated tubular adenocarcinoma)
143452aaf7604e33877c0c3261682e56,Well differentiated tubular adenocarcinoma,"Tumor tissue consisting of proliferative medium to large, round or irregular glandular ducts in the superficial epithelium. Well differentiated adenocarcinoma."
a105c490b9d44c41b5f1d7dd6ddea2b0,Moderately differentiated tubular adenocarcinoma,"Tumor cells with strong nuclear atypia proliferate invasively, forming small to medium-sized irregular shaped ducts. moderately differentiated tubular adenocarcinoma"
f709dfb49b8d4b9b9f05f1c2ccdc145e,Well differentiated tubular adenocarcinoma,Atypical l cells with atypical nuclei form irregular ducts and infiltrate. Well differentiated adenocarcinoma
ed51b0685f8b4003a737d6042786f000,Moderately differentiated tubular adenocarcinoma,"In the superficial epithelium, tumor tissue that invades by forming medium-sized to small, irregular ducts is observed. Moderately differentiated adenocarcinoma."
83299234a07945baa95b348e5768fcee,Moderately differentiated tubular adenocarcinoma,"In the superficial epithelium, tumor tissue that invades by forming medium-sized to small irregular glandular ducts is observed. Moderately differentiated adenocarcinoma."
811c34f918f24d798750c69974be8220,Well differentiated tubular adenocarcinoma,"Tumor tissue consisting of medium-sized and irregular ducts is observed infiltrating in the superficial epithelium. Tumor cells are highly columnar, with nuclei aligned basolaterally and polarized. Well differentiated tubular adenocarcinoma."
5ee5b7236e2c4d5b81898681617ac462,Well differentiated tubular adenocarcinoma,"Tumor tissue consisting of medium-sized and irregular ducts is observed infiltrating in the superficial epithelium. Tumor cells are highly columnar, with nuclei aligned basolaterally and polarized. Well differentiated tubular adenocarcinoma."
b110ecfeb0ef43aeab3a51a44dab26a2,Well differentiated tubular adenocarcinoma,"Tumor tissue consisting of medium-sized and irregular ducts is observed infiltrating in the superficial epithelium. Tumor cells are highly columnar, with nuclei aligned basolaterally and polarized. Well differentiated tubular adenocarcinoma."
d061b061b33942eca3c1a4d3c9f7cb05,Well differentiated tubular adenocarcinoma,"Tumor tissue consisting of medium-sized and irregular ducts is observed infiltrating in the superficial epithelium. Tumor cells are highly columnar, with nuclei aligned basolaterally and polarized. Well differentiated tubular adenocarcinoma."
24495173025d42bf9dd180f3964aceec,Moderately differentiated tubular adenocarcinoma,"In the superficial epithelium, tumor tissue that invades by forming medium-sized to small, irregular ducts is observed. Tumor cells are columnar or cuboidal in shape. Moderately differentiated adenocarcinoma."
78b0b7c316a940d7a1f8c5da5e21d41f,"Poorly differentiated adenocarcinoma, non-solid type","The superficial epithelium shows small cord-like infiltrating tumor tissue. Some part of neoplastic cells are signet ring cell type which show single invasion manner. Poorly differentiated adenocarcinoma, non-solid type."
ed6990f55d4c4ddb91a2befa600baa80,Well differentiated tubular adenocarcinoma,"On the superficial epithelium, tumor tissue consisting of medium-sized to large-sized, round or irregular glandular duct growth images is observed. Well differentiated adenocarcinoma."
e02978c856c743abbf0fcf00325de1ee,"Poorly differentiated adenocarcinoma, non-solid type","The superficial epithelium shows small cord-like infiltrating tumor tissue. Some part of neoplastic cells are signet ring cell type which show single invasion manner. Poorly differentiated adenocarcinoma, non-solid type."
76bec5ab16da4801b5a707c9c1a30542,Moderately differentiated tubular adenocarcinoma,"In the superficial epithelium, tumor tissue that invades by forming medium-sized to small, irregular ducts is observed. Tumor cells are columnar or cuboidal in shape. Moderately differentiated adenocarcinoma."
8b9ebae60f1049f8a1bf3bff9a02269d,Well differentiated tubular adenocarcinoma,There are atypical l cells with atypical nuclei forming irregular glandular ducts and growing in a complex manner. Well differentiated tubular adenocarcinoma
1b628f64e255496d92d70565cd0232df,Well differentiated tubular adenocarcinoma,Atypical epithelial cells are proliferating to replace the foveolar epithelium is observed. Well differentiated tubular adenocarcinoma.
3c07368c6ca641078137824fc80cbb25,Well differentiated tubular adenocarcinoma,There are atypical l cells with atypical nuclei forming irregular glandular ducts and growing in a complex manner. Well differentiated tubular adenocarcinoma
346124cd7e8e43f88b3a747eea113fa5,Well differentiated tubular adenocarcinoma,"Proliferation of atypical tubules is observed in surface epithelium. Tubules form back-to-back structure. Tubules exhibit glandular budding, nuclear enlargement, cellular atypia. Well differentiated tubular adenocarcinoma."
e54567bde7ff4b249164bed2135a4f4e,Moderately differentiated tubular adenocarcinoma,There are large atypical epithelial cells infiltrating and proliferating while forming atypical glandular cavities showing a fusion tendency. Moderately differentiated tubular adenocarcinoma.
a2f0eb7041dc4a77832c374653e9a411,Moderately differentiated tubular adenocarcinoma,"In the superficial epithelium, tumor tissue that invades by forming medium-sized to small, irregular ducts is observed. Tumor cells are columnar or cuboidal in shape. Moderately differentiated adenocarcinoma."
